DATE,CLOSE
03/06/2014,28.9
04/06/2014,28.5
05/06/2014,27.9
06/06/2014,28.8
09/06/2014,28.8
10/06/2014,28.6
11/06/2014,29.1
12/06/2014,29.8
13/06/2014,30.1
16/06/2014,29.9
17/06/2014,30
18/06/2014,26
19/06/2014,25.6
20/06/2014,24.9
23/06/2014,26.2
24/06/2014,26
25/06/2014,26.3
26/06/2014,26.4
27/06/2014,26.3
30/06/2014,26.2
01/07/2014,26
02/07/2014,25.9
03/07/2014,25.9
04/07/2014,26.1
07/07/2014,26.3
08/07/2014,26.2
09/07/2014,25.9
10/07/2014,25.7
11/07/2014,25.7
14/07/2014,25.7
15/07/2014,25.8
16/07/2014,26.1
17/07/2014,25.9
18/07/2014,26.2
21/07/2014,26.2
22/07/2014,25.8
23/07/2014,25.9
24/07/2014,26
25/07/2014,25.8
28/07/2014,25.6
29/07/2014,25.8
30/07/2014,25.6
31/07/2014,25.6
01/08/2014,25.8
04/08/2014,25.9
05/08/2014,26.2
06/08/2014,26
07/08/2014,26
11/08/2014,25.7
12/08/2014,25.8
13/08/2014,26
14/08/2014,25.9
15/08/2014,25.7
18/08/2014,25.8
19/08/2014,25.8
20/08/2014,26.5
21/08/2014,27.2
22/08/2014,27.2
25/08/2014,27.4
26/08/2014,27.9
27/08/2014,27.6
28/08/2014,27.5
29/08/2014,28
03/09/2014,28.3
04/09/2014,28.8
05/09/2014,29.3
08/09/2014,29.3
09/09/2014,28.6
10/09/2014,28.6
11/09/2014,28.5
12/09/2014,28.5
15/09/2014,27.8
16/09/2014,27.4
17/09/2014,27.2
18/09/2014,27.3
19/09/2014,26.3
22/09/2014,26.8
23/09/2014,26.8
24/09/2014,26.7
25/09/2014,26.5
26/09/2014,26.4
29/09/2014,26.2
30/09/2014,26.1
01/10/2014,26.4
